EVTYPE,CATEGORY
AVALANCE,AVALANCHE
AVALANCHE,AVALANCHE
BLACK ICE,ICE
BLIZZARD,SNOW
blowing snow,SNOW
COASTAL FLOOD,FLOOD
Coastal Flooding,FLOOD
COASTAL STORM,STORM
COASTALSTORM,STORM
Cold,COLD
COLD AND SNOW,COLD
Cold Temperature,COLD
COLD WAVE,COLD
COLD WEATHER,COLD
COLD/WIND CHILL,COLD
COLD/WINDS,COLD AND WIND
DENSE FOG,FOG
DROUGHT/EXCESSIVE HEAT,HEAT
DROWNING,DROWNING
DRY MICROBURST,WIND
DUST DEVIL,WHIRLWIND
DUST STORM,STORM
EXCESSIVE HEAT,HEAT
EXCESSIVE RAINFALL,RAIN
Extended Cold,COLD
Extreme Cold,COLD
EXTREME COLD/WIND CHILL,COLD
EXTREME HEAT,HEAT
EXTREME WINDCHILL,COLD
FALLING SNOW/ICE,SNOW AND ICE
FLASH FLOOD,FLOOD
FLASH FLOOD/FLOOD,FLOOD
FLASH FLOODING,FLOOD
FLASH FLOODING/FLOOD,FLOOD
FLASH FLOODS,FLOOD
FLOOD,FLOOD
FLOOD & HEAVY RAIN,FLOOD
FLOOD/FLASH FLOOD,FLOOD
FLOOD/RIVER FLOOD,FLOOD
FLOODING,FLOOD
FOG,FOG
FREEZE,ICE
FREEZING DRIZZLE,RAIN
FREEZING RAIN,RAIN
FREEZING RAIN/SNOW,RAIN AND SNOW
Freezing Spray,RAIN
FROST,ICE
GLAZE,ICE
GUSTY WIND,WIND
GUSTY WINDS,WIND
HAIL,HAIL
HEAT,HEAT
HEAT WAVE,HEAT
HEAT WAVE DROUGHT,HEAT
HEAT WAVES,HEAT
HEAVY RAIN,RAIN
HEAVY SEAS,HEAVY SEAS
HEAVY SNOW,SNOW
HEAVY SNOW AND HIGH WINDS,WIND AND SNOW
Heavy Surf,SURF
Heavy surf and wind,SURF AND WIND
HEAVY SURF/HIGH SURF,SURF
HIGH SEAS,HEAVY SEAS
High Surf,SURF
HIGH SWELLS,SWELLS
HIGH WATER,HIGH WATER
HIGH WAVES,HIGH WAVES
HIGH WIND,WIND
HIGH WIND AND SEAS,WIND AND SEAS
HIGH WIND/SEAS,WIND AND SEAS
HIGH WINDS,WIND
HIGH WINDS/SNOW,WIND AND SNOW
HURRICANE,HURRICANE
HURRICANE ERIN,HURRICANE
HURRICANE FELIX,HURRICANE
HURRICANE OPAL,HURRICANE
HURRICANE OPAL/HIGH WINDS,HURRICANE
HURRICANE/TYPHOON,HURRICANE
HYPERTHERMIA/EXPOSURE,COLD
HYPOTHERMIA,COLD
Hypothermia/Exposure,COLD
ICE,ICE
ICE ON ROAD,ICE
ICE STORM,STORM
ICY ROADS,ICE
LANDSLIDE,LANDSLIDE
LANDSLIDES,LANDSLIDE
LIGHT SNOW,SNOW
LIGHTNING,LIGHTNING
LIGHTNING.,LIGHTNING
LOW TEMPERATURE,COLD
Marine Accident,MARINE ACCIDENT
MARINE HIGH WIND,WIND
MARINE MISHAP,MARINE ACCIDENT
MARINE STRONG WIND,WIND
MARINE THUNDERSTORM WIND,WIND
MARINE TSTM WIND,WIND
MINOR FLOODING,FLOOD
MIXED PRECIP,RAIN
Mudslide,LANDSLIDE
Mudslides,LANDSLIDE
RAIN/SNOW,RAIN AND SNOW
RAIN/WIND,RAIN AND WIND
RAPIDLY RISING WATER,FLOOD
RECORD COLD,COLD
RECORD HEAT,HEAT
RECORD/EXCESSIVE HEAT,HEAT
RIP CURRENT,RIP CURRENT
RIP CURRENTS,RIP CURRENT
RIP CURRENTS/HEAVY SURF,RIP CURRENT AND SURF
RIVER FLOOD,FLOOD
RIVER FLOODING,FLOOD
ROUGH SEAS,ROUGH SEAS
ROUGH SURF,SURF
SLEET,SLEET
SNOW,SNOW
SNOW AND ICE,SNOW AND ICE
SNOW SQUALL,SNOW
Snow Squalls,SNOW
SNOW/ BITTER COLD,SNOW AND COLD
STORM SURGE,STORM
STORM SURGE/TIDE,STORM
STRONG WIND,WIND
Strong Winds,WIND
THUNDERSNOW,SNOW
THUNDERSTORM,STORM
THUNDERSTORM WIND,WIND
THUNDERSTORM WIND (G40),WIND
THUNDERSTORM WIND G52,WIND
THUNDERSTORM WINDS,WIND
THUNDERTORM WINDS,WIND
TORNADO,TORNADO
"TORNADOES, TSTM WIND, HAIL",TORNADO
TROPICAL STORM,STORM
TROPICAL STORM GORDON,STORM
TSTM WIND,WIND
TSTM WIND (G35),WIND
TSTM WIND/HAIL,WIND AND HAIL
TSUNAMI,TSUNAMI
UNSEASONABLY COLD,COLD
UNSEASONABLY WARM,HEAT
UNSEASONABLY WARM AND DRY,HEAT
URBAN AND SMALL STREAM FLOODIN,FLOOD
URBAN/SML STREAM FLD,FLOOD
WATERSPOUT,WATERSPOUT
Whirlwind,WHIRLWIND
WILD FIRES,FIRE
WILD/FOREST FIRE,FIRE
WILDFIRE,FIRE
WIND,WIND
WIND STORM,WIND
WINDS,WIND
WINTER STORM,STORM
WINTER STORM HIGH WINDS,WIND
WINTER STORMS,STORM
WINTER WEATHER,COLD
WINTER WEATHER/MIX,COLD
WINTRY MIX,COLD
BLOWING SNOW,FIRE
BRUSH FIRE,FIRE
COASTAL FLOODING/EROSION,FLOOD
DROUGHT,DROUGHT
DRY MIRCOBURST WINDS,WIND
EXCESSIVE SNOW,SNOW
FOG AND COLD TEMPERATURES,FOG AND COLD
FUNNEL CLOUD,WIND
GLAZE/ICE STORM,ICE
HAZARDOUS SURF,SURF
HEAVY RAINS,RAIN
Heavy snow shower,SNOW
HEAVY SNOW/BLIZZARD/AVALANCHE,AVALANCHE
HEAVY SNOW/ICE,SNOW AND ICE
HIGH,HIGH
HIGH WIND 48,WIND
HIGH WIND/HEAVY SNOW,WIND AND SNOW
HIGH WINDS/COLD,COLD
Hurricane Edouard,HURRICANE
HURRICANE EMILY,HURRICANE
HURRICANE-GENERATED SWELLS,HURRICANE
ICE ROADS,ICE
ICE STORM/FLASH FLOOD,STORM AND FLOOD
LIGHTNING AND THUNDERSTORM WIN,LIGHTNING AND WIND
LIGHTNING INJURY,LIGHTNING
NON TSTM WIND,WIND
NON-SEVERE WIND DAMAGE,WIND
OTHER,OTHER
ROGUE WAVE,ROGUE WAVE
SMALL HAIL,HAIL
SNOW/HIGH WINDS,WIND AND SNOW
THUNDERSTORM  WINDS,WIND
THUNDERSTORM WINDS 13,WIND
THUNDERSTORM WINDS/HAIL,WIND AND HAIL
THUNDERSTORM WINDSS,WIND
THUNDERSTORMS WINDS,WIND
THUNDERSTORMW,STORM
TIDAL FLOODING,FLOOD
TORNADO F2,TORNADO
TORNADO F3,TORNADO
Torrential Rainfall,RAIN
TSTM WIND (G40),WIND
TSTM WIND (G45),WIND
TYPHOON,TYPHOON
WARM WEATHER,HEAT
WATERSPOUT TORNADO,TORNADO
WATERSPOUT/TORNADO,TORNADO
WINTER WEATHER MIX,COLD
Dust Devil,TORNADO
FLASH FLOOD WINDS,FLOOD
HEAVY SNOW SQUALLS,SNOW
THUNDERSTORM WINDS HAIL,WIND
BREAKUP FLOODING,FLOOD
FLOODING/HEAVY RAIN,FLOOD
HIGH TIDES,HIGH TIDE
HEAVY RAIN/SEVERE WEATHER,RAIN
SEVERE THUNDERSTORM,STORM
THUNDERSTORM WIND G50,WIND
   HIGH SURF ADVISORY,SURF
 FLASH FLOOD,FLOOD
 TSTM WIND,WIND
 TSTM WIND (G45),WIND
?,OTHER
APACHE COUNTY,OTHER
ASTRONOMICAL HIGH TIDE,HIGH TIDE
ASTRONOMICAL LOW TIDE,LOW TIDE
Beach Erosion,EROSION
BLIZZARD/WINTER STORM,SNOW
BLOWING DUST,DUST
COASTAL EROSION,EROSION
COASTAL SURGE,SURGE
COLD AIR TORNADO,TORNADO
DAM BREAK,FLOOD
DENSE SMOKE,SMOKE
DOWNBURST,WIND
DUST DEVIL WATERSPOUT,TORNADO
DUST STORM/HIGH WINDS,WIND
EXTREME WIND CHILL,COLD
FLASH FLOOD - HEAVY RAIN,FLOOD
FLASH FLOOD FROM ICE JAMS,FLOOD
FLASH FLOOD LANDSLIDES,FLOOD
FLASH FLOOD/,FLOOD
FLASH FLOOD/ STREET,FLOOD
FLASH FLOOD/LANDSLIDE,FLOOD
FLASH FLOODING/THUNDERSTORM WI,FLOOD
FLOOD FLASH,FLOOD
FLOOD/FLASH/FLOOD,FLOOD
FLOOD/FLASHFLOOD,FLOOD
FLOODS,FLOOD
FREEZING FOG,FOG
FREEZING RAIN/SLEET,RAIN
FROST/FREEZE,ICE
FROST\FREEZE,ICE
GLAZE ICE,ICE
gradient wind,WIND
GRASS FIRES,FIRE
GROUND BLIZZARD,SNOW
GUSTNADO,TORNADO
GUSTY WIND/HAIL,WIND
GUSTY WIND/HVY RAIN,WIND
Gusty wind/rain,WIND
HAIL 0.75,HAIL
HAIL 100,HAIL
HAIL 175,HAIL
HAIL 275,HAIL
HAIL 75,HAIL
HAIL DAMAGE,HAIL
HAIL/WIND,HAIL AND WIND
HAIL/WINDS,HAIL AND WIND
HEAVY LAKE SNOW,SNOW
HEAVY MIX,OTHER
HEAVY PRECIPITATION,RAIN
HEAVY RAIN AND FLOOD,FLOOD
HEAVY RAIN/SMALL STREAM URBAN,FLOOD
HEAVY RAIN/SNOW,RAIN AND SNOW
HEAVY RAINS/FLOODING,FLOOD
HEAVY SHOWER,RAIN
HEAVY SNOW-SQUALLS,SNOW
HEAVY SNOW/BLIZZARD,SNOW
HEAVY SNOW/SQUALLS,SNOW
HEAVY SNOW/WIND,SNOW
HEAVY SNOW/WINTER STORM,SNOW
HEAVY SURF COASTAL FLOODING,FLOOD
HEAVY SWELLS,SWELLS
HIGH  WINDS,WIND
HIGH WIND (G40),WIND
HIGH WIND/BLIZZARD,WIND
HIGH WINDS/,WIND
HIGH WINDS/HEAVY RAIN,WIND
HURRICANE GORDON,HURRICANE
ICE FLOES,ICE
ICE JAM,ICE
Ice jam flood (minor,ICE
ICE JAM FLOODING,ICE
Lake Effect Snow,SNOW
LAKE FLOOD,FLOOD
LAKE-EFFECT SNOW,SNOW
LAKESHORE FLOOD,FLOOD
Landslump,LANDSLIDE
LANDSPOUT,TORNADO
LATE SEASON SNOW,SNOW
LIGHT FREEZING RAIN,RAIN
Light Snowfall,SNOW
LIGHTING,LIGHTNING
LIGHTNING  WAUSEON,LIGHTNING
LIGHTNING AND HEAVY RAIN,LIGHTNING
LIGHTNING THUNDERSTORM WINDS,LIGHTNING
LIGHTNING/HEAVY RAIN,LIGHTNING
LIGNTNING,LIGHTNING
MARINE HAIL,LIGHTNING
Microburst,HAIL
MICROBURST,WIND
MICROBURST WINDS,WIND
Mixed Precipitation,RAIN
MUD SLIDE,LANDSLIDE
MUD SLIDES,LANDSLIDE
MUD SLIDES URBAN FLOODING,FLOOD
NON-TSTM WIND,WIND
RAIN,RAIN
RAINSTORM,RAIN
RECORD RAINFALL,RAIN
RECORD SNOW,SNOW
RIVER AND STREAM FLOOD,FLOOD
ROCK SLIDE,LANDSLIDE
RURAL FLOOD,FLOOD
SEICHE,SEICHE
SEVERE THUNDERSTORM WINDS,WIND
SEVERE THUNDERSTORMS,STORM
SEVERE TURBULENCE,TURBULENCE
SLEET/ICE STORM,ICE
SNOW ACCUMULATION,SNOW
SNOW AND HEAVY SNOW,SNOW
SNOW AND ICE STORM,SNOW
SNOW FREEZING RAIN,RAIN AND SNOW
SNOW/ ICE,SNOW
SNOW/BLOWING SNOW,SNOW
SNOW/COLD,SNOW
SNOW/HEAVY SNOW,SNOW
SNOW/ICE,SNOW
SNOW/ICE STORM,SNOW
SNOW/SLEET,SNOW
SNOW/SLEET/FREEZING RAIN,RAIN AND SNOW
SNOWMELT FLOODING,FLOOD
STORM FORCE WINDS,WIND
THUDERSTORM WINDS,WIND
THUNDEERSTORM WINDS,WIND
THUNDERESTORM WINDS,WIND
THUNDERSTORM DAMAGE TO,STORM
THUNDERSTORM HAIL,HAIL
THUNDERSTORM WIND 60 MPH,WIND
THUNDERSTORM WIND 65 MPH,WIND
THUNDERSTORM WIND 65MPH,WIND
THUNDERSTORM WIND 98 MPH,WIND
THUNDERSTORM WIND G55,ICE
THUNDERSTORM WIND TREES,WIND
THUNDERSTORM WIND/ TREE,WIND
THUNDERSTORM WIND/ TREES,WIND
THUNDERSTORM WIND/AWNING,WIND
THUNDERSTORM WIND/HAIL,WIND
THUNDERSTORM WIND/LIGHTNING,WIND
THUNDERSTORM WINDS 63 MPH,ICE
THUNDERSTORM WINDS AND,WIND
THUNDERSTORM WINDS LIGHTNING,WIND
THUNDERSTORM WINDS.,WIND
THUNDERSTORM WINDS/ FLOOD,WIND
THUNDERSTORM WINDS/FLOODING,WIND
THUNDERSTORM WINDS/FUNNEL CLOU,WIND
THUNDERSTORM WINDS53,WIND
THUNDERSTORM WINDSHAIL,WIND
THUNDERSTORM WINS,WIND
THUNDERSTORMS,STORM
THUNDERSTORMS WIND,WIND
THUNDERSTORMWINDS,WIND
THUNDERSTROM WIND,WIND
THUNERSTORM WINDS,WIND
TORNADO F0,TORNADO
TORNADO F1,TORNADO
TORNDAO,TORNADO
TROPICAL DEPRESSION,STORM
TROPICAL STORM DEAN,STORM
TROPICAL STORM JERRY,STORM
TSTM WIND  (G45),WIND
TSTM WIND (41),WIND
TSTM WIND 40,WIND
TSTM WIND 45,WIND
TSTM WIND 55,WIND
TSTM WIND 65),WIND
TSTM WIND AND LIGHTNING,WIND
TSTM WIND DAMAGE,WIND
TSTM WIND G45,WIND
TSTM WINDS,WIND
TSTMW,WIND
TUNDERSTORM WIND,WIND
URBAN AND SMALL,OTHER
URBAN FLOOD,FLOOD
URBAN FLOODING,FLOOD
URBAN FLOODS,FLOOD
URBAN SMALL,OTHER
URBAN/SMALL STREAM,FLOOD
URBAN/SMALL STREAM FLOOD,FLOOD
VOLCANIC ASH,VOLCANO
WATERSPOUT-,TORNADO
WATERSPOUT-TORNADO,TORNADO
WATERSPOUT/ TORNADO,TORNADO
WET MICROBURST,WIND
WILD/FOREST FIRES,FIRE
WILDFIRES,FIRE
Wind Damage,WIND
WIND/HAIL,WIND
 TSTM WIND,W
COASTAL  FLOODING/EROSION,FLOOD
DAMAGING FREEZE,ICE
Erosion/Cstl Flood,EROSION
FLOOD/FLASH,FLOOD
FOREST FIRES,FIRE
HAIL 450,HAIL
HAILSTORM,HAIL
Heavy Rain/High Surf,RAIN
HEAVY RAIN/LIGHTNING,RAIN
HEAVY RAINS/FLOODING,RAIN
HEAVY SNOW AND STRONG WINDS,SNOW
HEAVY SNOW/FREEZING RAIN,SNOW
HEAVY SNOW/HIGH WINDS & FLOOD,SNOW
HEAVY SNOWPACK,SNOW
HIGH WIND DAMAGE,WIND
HIGH WINDS HEAVY RAINS,WIND
HIGH WINDS/COASTAL FLOOD,WIND
ICE AND SNOW,ICE AND SNOW
ICE/STRONG WINDS,ICE AND WIND
LIGHTNING FIRE,FIRE
MAJOR FLOOD,FLOOD
SNOW FREEZING RAIN,SNOW
SNOW/FREEZING RAIN,SNOW
Coastal Flood,FLOOD
COASTAL FLOODING,FLOOD
Coastal Storm,STORM
COLD,COLD
EXTREME COLD,COLD
Freezing drizzle,RAIN
Freezing Rain,RAIN
Glaze,ICE
Gradient wind,WIND
Gusty Winds,WIND
HEAVY SURF,SURF
HIGH SURF,SURF
LAKE EFFECT SNOW,SNOW
Light snow,SNOW
MIXED PRECIPITATION,RAIN
MUDSLIDE,LANDSLIDE
MUDSLIDES,LANDSLIDE
Other,OTHER
River Flooding,FLOOD
Snow,SNOW
SNOW SQUALLS,SNOW
Strong Wind,WIND
STRONG WINDS,WIND
Tidal Flooding,FLOOD
Tstm Wind,WIND
WHIRLWIND,WHIRLWIND
Wind,WIND
WIND DAMAGE,WIND
Wintry Mix,COLD
Frost/Freeze,ICE
TROPICAL STORM ALBERTO,STORM
TSTM WIND G58,WIND
WIND AND WAVE,WIND
AGRICULTURAL FREEZE,ICE
COLD AND WET CONDITIONS,COLD
COOL AND WET,COLD
Damaging Freeze,ICE
Early Frost,ICE
EXCESSIVE WETNESS,WET
FLOOD/RAIN/WINDS,FLOOD
Freeze,ICE
HAIL 075,HAIL
HAIL 125,HAIL
HAIL 150,HAIL
HAIL 200,HAIL
HARD FREEZE,ICE
HVY RAIN,RAIN
SMALL STREAM FLOOD,FLOOD
THUNDERSTORM WIND G60,WIND
THUNDERSTORM WIND.,WIND
THUNDERSTORM WINDS G60,WIND
TORNADOES,TORNADO
Unseasonable Cold,COLD
UNSEASONAL RAIN,RAIN
Freezing Drizzle,RAIN
GRADIENT WIND,WIND
Light Snow   ,SNOW
Light Snow,SNOW